s_suppkey,s_name,s_address,s_nationkey,s_phone,s_acctbal,s_comment
103,Supplier#000000103       ,hBpQ4GYblzpHKTgATLPAS6ph3,2,12-442-523-5043,1050.66, accounts detect slyly bo
104,Supplier#000000104       ,Dcl4yGrzqv3OPeRO49bKh78XmQEDR7PBXIs0m,6,16-434-972-6922,1381.97,gular ideas. bravely bold deposits haggle through the carefully final deposits. slyly unusual idea
105,Supplier#000000105       ,cB YSy5Bla,4,14-951-800-2742,3754.75,sual requests haggle slyly. theodolites
106,Supplier#000000106       ,50EV3vyfAsWJAjTbT4qwU,21,31-810-990-4600,8091.65,eas affix carefully fluffily silent packages. regular deposits bo
107,Supplier#000000107       ,fqniA2vC1VZU5DZG2TBiN,16,26-958-723-2164,1378.93,thely special foxes nag carefully. requests cajole along the quickly ironic pinto b
108,Supplier#000000108       ,eL47lfhfMP7zRw,24,34-341-415-7878,7683.71,", regular packages! bold re"
109,Supplier#000000109       ,4 63llZBLxtWRa A,21,31-405-311-8656,9202.82,al courts. unusual escapades cajol
110,Supplier#000000110       ,ehv9ObpyN0,15,25-824-874-9077,9804.10,eposits nag thinly furiously even accounts; permanent ideas nag fluf
111,Supplier#000000111       ,uv56H9j8cNa4qnflVSYbLNN,4,14-256-573-2660,6578.65,ing theodolites are about the slowly pending
112,Supplier#000000112       ,vdWe5lfgvisRCxdd85DTOZHqAzcuq7f7KKThA,12,22-617-876-1402,4332.95,es eat fluffily bold deposits. furiously unusual i
113,Supplier#000000113       ,5 YOpqbaHs7dR gG4EmXrI7XtA7DcnRMsWPU1z2D,11,21-211-117-1937,1882.05,blithely regular courts wake quickly even pl
114,Supplier#000000114       ,Uvz iykaBYOC,20,30-998-334-7841,4559.18,jole slyly blithely regular requests-- even requests haggle alongsid
115,Supplier#000000115       ,"nJ 2t0f7Ve,wL1,6WzGBJLNBUCKlsV",23,33-597-248-1220,9192.10,es across the carefully express accounts boost caref
116,Supplier#000000116       ,gABGPfNYwB 9g1rMYWSAhpo 4,13,23-188-305-1829,5751.39,xcuses wake quickly above the regular packages; s
117,Supplier#000000117       ,"ZnlLNC,8YN10T4mjI8eq5bJ",18,28-470-879-3141,4589.18,ymptotes. blithely regular theodolites are slyly according to the 
118,Supplier#000000118       ,BYtvNtFpQAHHoBFWF,0,10-475-868-5521,7317.43,y ironic theodolites. furiously bold ideas use along t
119,Supplier#000000119       ,4CxBrM0o4yt6LYFxZIyZ89Xnf8LZNn6KcYc,18,28-558-264-1202,2060.13,ctions: quickly final courts wake quietly foxes. packages hag
120,Supplier#000000120       ,TNxoTw0SiMmQzGfZY9fTSkL2kmtPwvtR2L,7,17-645-761-5674,5575.40," beans cajole of the sly, dogged courts. "
121,Supplier#000000121       ,"CWGri,tKI 7gDcDsI",6,16-275-849-2485,5733.61,"against the ironic, permanent pinto beans. doggedly pending deposits sleep agai"
122,Supplier#000000122       ,2RUSHHspScCVTWC6z vw2XVR,16,26-432-258-4986,2732.95,ackages. carefully special accounts use slyly. slyly silent i
123,Supplier#000000123       ,IqRn20xsj5ibqAQjb6YNQf0xah,19,29-602-688-1506,5726.19,nts x-ray quickly according to t
124,Supplier#000000124       ,vmVadCZ xHPbQQA2fLxr68T1YhmjVSuRUJKCrcq6,8,18-313-889-3713,-941.38,ular excuses after the fluffily pending pinto 
125,Supplier#000000125       ,XG eO4Xb4TSF7rj4R6WRQ1v2seTlyga3tvFZaC,2,12-419-430-3983,5157.25,ven accounts. fluffily ironic deposits are carefully. s
126,Supplier#000000126       ,CaO4YuZ oSkzemn,14,24-728-670-3468,6829.86,unts. carefully regular dolphins s
127,Supplier#000000127       ,"VEqo3HZJ,0ggcaxvqZnW7Rq7l,cPqfKgX2bIRavM",1,11-265-565-1616,2502.95,yly above the fluffily ironic accounts.
128,Supplier#000000128       ,"u,I0ayLPI2HKL",23,33-957-200-2556,1091.04,ng requests. slyly final ideas affix slyly even requests. fluffily regular theo
129,Supplier#000000129       ,9kWUk5K 7TAR40dW5nVeg i60Fy,15,25-314-164-7014,9001.17,even excuses wake even accounts. slyly bold excuses 
130,Supplier#000000130       ,Rnt93MAs0EpPZjPYQIlGOWNUjk,23,33-322-101-6260,8708.17," blithely regular packages sublate. closely idle accounts are fluffily final, brav"
131,Supplier#000000131       ,u3mTHMgBC0yJTLufr01TuHImgflQUXv,14,24-293-181-3975,1301.20,"to the regular, pending instructions detect against the p"
132,Supplier#000000132       ,sU92Jd3aQSbV,5,15-776-909-1326,-812.17,"al, final accounts cajole requests; fluffily pending instruction"
133,Supplier#000000133       ,"QT,semYwdx",4,14-731-952-5158,9754.60,he quickly express instructions 
134,Supplier#000000134       ,Nv7dxj4FGWrdcP56RmNci,6,16-184-952-7778,-329.16,c deposits haggle. dinos a
135,Supplier#000000135       ,"F4Uy ZQNU6ESTmO3mrL,mI",7,17-290-812-8855,9767.99,courts wake slyly instructions. furiously silent requests cajol
136,Supplier#000000136       ,SyWVom9ZFrTA6BMAS,8,18-175-739-8397,4623.48,requests. boldly regular deposits are. packages are sometimes! c
137,Supplier#000000137       ,j81M1VQCvKcIVnpMnIUnBNVUOm0XYJuJY,18,28-108-440-4890,837.27,he blithely bold theodolites cajole blithely among the 
138,Supplier#000000138       ,utbplAm g7RmxVfYoNdhcrQGWuzRqPe0qHSwbKw,19,29-533-434-6776,906.07,ickly unusual requests cajole. accounts above the furiously special excuses 
139,Supplier#000000139       , 2mQLQsVJ8WLBSnl0R bXrcyTgqXKrplgxb,22,32-788-265-2743,2217.93,arefully ironic ideas: slyly regular deposits about the furiously ironic requests
140,Supplier#000000140       ,mdfYYe8U sSb,16,26-379-377-5829,6727.48,"sly final pinto beans affix furiously about the packages. even, bold accounts affix permanently fi"
141,Supplier#000000141       ,5IN1dvjqFhyfKxoslkY3UL7CrNVPCZmq,10,20-557-547-7976,8842.14,"quests detect blithely even ideas. unusual, regular accounts sleep blithely carefully regu"
142,Supplier#000000142       ,HvfHnP57pz0w6l,16,26-302-532-7958,8991.41,dly ironic packages cajole amon
143,Supplier#000000143       ,"a3v,6RZMN9p FzRTdV,fm7ehoVgEhifejGnrNY4H",12,22-916-300-5765,9658.99,s lose slyly about the blithely unusual asymptotes. blithely silent instructions cou
144,Supplier#000000144       ,f8tddEKps816HHqNwsKdn3,20,30-726-423-7363,9806.29, carefully even pinto beans n
145,Supplier#000000145       ,pSsVRBOlNKVuvXcjAEKxxy0hD8kA aZf,6,16-136-582-9756,-685.94,"he carefully silent requests. quickly careful deposits are quickly about the bold, r"
146,Supplier#000000146       ,"rBDNgCr04x0sfdzD5,gFOutCiG2",22,32-792-619-3155,8271.39,s cajole quickly special requests. quickly enticing theodolites h
147,Supplier#000000147       ,"oLdl SQpf,ZXebBw5F3g9",23,33-828-583-6731,8387.76,its. carefully pending packages after the ironically special frays wake above the special deposits. 
148,Supplier#000000148       ,bkCBZzewuerw8xHv,7,17-648-666-9156,6089.75,ckly regular grouches. carefully ironic deposits cajole acc
149,Supplier#000000149       ,pVyWsjOidpHKp4NfKU4yLeym,6,16-660-553-2456,4518.31,"ts detect along the foxes. final Tiresias are. idly pending deposits haggle; even, blithe pin"
150,Supplier#000000150       ,"kZajmmtJB4g,nNlaHxUvXLfZW0hVtnR35LKA",5,15-169-420-7828,4161.22,l instructions sleep quickly regular requests. final orbits use never furiously ironic reque
151,Supplier#000000151       ,"2hd,3OAKPb39IY7 XuptY",22,32-960-568-5148,8561.72,hely final packages. ironic pinto beans haggle qu
152,Supplier#000000152       ,"jTZy8PjLJqfLxgHm7,fDoJu7ZMs luO2YmN63",24,34-659-493-1274,3846.60,lyly even platelets cajole. fluffil
153,Supplier#000000153       ,"qkCHAU1v9CtEBOGXhdFXJsx5L5gViVm5k,",9,19-346-843-5260,850.55,ress quickly. even accounts are around the carefully bold packages. slyly regular pa
154,Supplier#000000154       ,"gB51OPlY yleFDn,pnDRbsDqy1gYM,SNRbo",13,23-471-808-2661,4155.67, special ideas haggle carefully ironic pack
155,Supplier#000000155       ,NFoZlgq90N33cC4HbLcfIGb1uqIZy85l42qa6,22,32-417-987-3690,3401.43,es! slyly ironic requests cajole above the daring account
156,Supplier#000000156       ,",KXbCcjqZNjmyHzeqaL4",5,15-106-692-4998,9780.74,"sits cajole carefully instead of the final, ironic requests. furiously ironic deposits abo"
157,Supplier#000000157       ,",mEGorBfVIm",3,13-776-259-5994,-963.19,ove the silent deposits. carefully pending packages cajole furiously final packa
158,Supplier#000000158       ," fkjbx7,DYi",7,17-873-902-6175,1596.44,"cuses sleep after the pending, final "
159,Supplier#000000159       ,xftQu5vkiD6BF,4,14-606-224-3002,326.36, blithely quickly ironic platel
160,Supplier#000000160       ,LG6VM3F8MhGnmoZUpyqHgsV0IP6gOagh,4,14-471-505-8811,5067.64, after the furiously express deposi
161,Supplier#000000161       ,fsteD4OulIaUNa IPXVesILV,0,10-604-123-7428,7810.78,doze among the slyly even platelets. packages believe blithely furiously final ac
162,Supplier#000000162       ,hf2fnryOkI9VjFN8R8i5rRWguXzdlMu3o,9,19-905-888-6020,-170.22,sits. even frets believe fluffily. fluffily regular accounts 
163,Supplier#000000163       ,"1MhydNirC ,cuLIZezbkUxJhAC53ii,B",12,22-980-516-1217,7999.27,es sleep about the fluffily express platelets. even multipliers must have to sublate. bli
164,Supplier#000000164       ,"7H,0hAZkls5qVS 6sjbnVnQtpjMnGEv3gKXVS",2,12-414-446-6598,-264.20, the stealthy accounts. quickly stealthy warthogs detect. final deposits
165,Supplier#000000165       ,iPso5qCxSnxaNsRe9AU05Vl9hWm5oHIS,14,24-906-333-8640,1550.62,ions sleep silently. furiously unusual requests are slyly. express requests hind
166,Supplier#000000166       ,zCr2Z0hHyLjSz,13,23-117-751-3240,258.33,"s. regular, unusual requests about the bold packages grow careful"
167,Supplier#000000167       ,FEDldnEfBHVGOmKdFevemmG2,20,30-725-194-1727,5731.87,rding to the slyly bold deposits haggle furiously furiously regular accounts. blithely bold pac
168,Supplier#000000168       ,NNvNhn6dWzr80Igr,9,19-985-776-2090,6559.35,"y final packages! express, ironic foxes snooze carefully above the furiously daring theodolites"
169,Supplier#000000169       ,"ycymrfB5JV1vU,swPXggAt",13,23-698-509-1073,-927.50,"ss, even accounts. ironic packages sleep blithely after the slyly regular d"
170,Supplier#000000170       ,"RtsXQ,SunkA XHy9",23,33-803-340-5398,7392.78,ake carefully across the quickly
171,Supplier#000000171       ,eRpB8T GdtMBvJOo,10,20-229-200-1299,3549.54,es are. blithely final packages are unusual requests. fluffily expre
172,Supplier#000000172       ,NckigAXBRUXbJI,22,32-481-329-1585,2077.39,efully ironic packages x-ray thinly. slyly pending hockey players haggle slyly. sly
173,Supplier#000000173       ,OqQzF6rfxDvkjpMXVCwGfQzj4oTHBHyW5kC5Gjxd,12,22-640-545-4690,9583.11,"ly regular escapades use among the express deposits. unusual, silent deposits wake. ins"
174,Supplier#000000174       ,e1NMjwAq6RdyIKeA,22,32-840-184-9487,-561.50,s. blithely special dugouts integrate furiously. furiously bold accounts haggle th
175,Supplier#000000175       ,Lgv gYbBdu S9,12,22-392-226-3266,9845.98,leep. quickly blithe theodolites wake slyly. furiously pending ideas haggle after the slyly
176,Supplier#000000176       ,"OLVnGuOx8m6NfApzODj4 JP01JJIm,qI53BChmgQ",10,20-970-245-2712,6387.89,s according to the carefully expr
177,Supplier#000000177       ,IUZ 7G x212nzZY5aQS,12,22-246-174-4465,-741.79,fully after the always ironic theodolites
178,Supplier#000000178       ,VJ9DInoVjbDg,16,26-471-122-2582,4693.27,"hely final foxes instead of the express, expres"
179,Supplier#000000179       ,d3le3XaTUC,19,29-560-587-5604,7727.83,kages solve carefully alongside of the furiously regular patterns. blithe
180,Supplier#000000180       ,JJzFp5wZcS0KpMLM95tYmq5Pv526UBfT8vrfwBk,7,17-600-237-1665,2753.77,"ic deposits wake furiously even, express accounts. slyly express packages detect doggedly"
181,Supplier#000000181       ,7g8adZQXXuHAYdoULLDVKYRtBhdddGqYj7pMzva,14,24-682-737-4806,3665.07,usual ideas. silent requests boost across the quickly regular instructi
